Zeit;Kanal A
(ms);(mV)

-22,11499912;-19,58200000
-22,10999912;-19,58200000
-22,10499913;-18,18405000
-22,09999913;-17,25055000
-22,09499913;-14,91911000
-22,08999913;-15,38509000
-22,08499913;-14,45312000
-22,07999913;-13,98714000
-22,07499913;-11,65570000
-22,06999913;-11,18971000
-22,06499913;-9,79023100
-22,05999913;-9,32424900
-22,05499913;-8,85826700
-22,04999913;-9,32424900
-22,04499913;-8,85826700
-22,03999913;-7,92630300
-22,03499913;-8,85826700
-22,02999913;-9,32424900
-22,02499913;-8,85826700
-22,01999913;-9,32424900
-22,01499913;-9,32424900
-22,00999913;-9,32424900
-22,00499913;-10,25621000
-21,99999913;-9,79023100
-21,99499913;-9,79023100
-21,98999913;-10,25621000
-21,98499913;-9,32424900
-21,97999913;-8,39228500
-21,97499913;-8,39228500
-21,96999913;-6,52682100
-21,96499913;-6,99280200
-21,95999913;-6,52682100
-21,95499913;-6,52682100
-21,94999913;-5,59485700
-21,94499913;-5,59485700
-21,93999913;-4,66135500
-21,93499913;-4,66135500
-21,92999913;-4,66135500
-21,92499913;-3,26341000
-21,91999913;-2,79742800
-21,91499913;0,00000000
-21,90999913;0,00000000
-21,90499913;3,26341000
-21,89999913;5,12733700
-21,89499913;6,06083900
-21,88999913;8,85826700
-21,88499913;10,72373000
-21,87999913;12,58766000
-21,87499913;15,85261000
-21,86999913;15,38509000
-21,86499913;16,78457000
-21,85999913;16,78457000
-21,85499913;16,31859000
-21,84999913;15,38509000
-21,84499913;15,38509000
-21,83999913;13,52116000
-21,83499913;11,65570000
-21,82999913;9,79023100
-21,82499913;8,39228500
-21,81999913;7,45878400
-21,81499913;6,52682100
-21,80999913;6,52682100
-21,80499913;6,99280200
-21,79999913;7,92630300
-21,79499913;7,45878400
-21,78999913;9,32424900
-21,78499913;10,25621000
-21,77999913;11,65570000
-21,77499913;12,12168000
-21,76999913;13,98714000
-21,76499913;15,38509000
-21,75999913;15,38509000
-21,75499913;13,98714000
-21,74999913;13,05518000
-21,74499913;13,52116000
-21,73999913;14,45312000
-21,73499913;14,45312000
-21,72999913;14,45312000
-21,72499913;13,98714000
-21,71999913;13,52116000
-21,71499913;14,45312000
-21,70999914;13,98714000
-21,70499914;13,52116000
-21,69999914;15,38509000
-21,69499914;14,91911000
-21,68999914;15,38509000
-21,68499914;16,78457000
-21,67999914;15,85261000
-21,67499914;16,31859000
-21,66999914;16,31859000
-21,66499914;17,25055000
-21,65999914;16,31859000
-21,65499914;16,31859000
-21,64999914;15,38509000
-21,64499914;14,91911000
-21,63999914;13,98714000
-21,63499914;13,05518000
-21,62999914;12,12168000
-21,62499914;12,58766000
-21,61999914;12,12168000
-21,61499914;11,65570000
-21,60999914;11,65570000
-21,60499914;12,12168000
-21,59999914;13,98714000
-21,59499914;13,52116000
-21,58999914;14,91911000
-21,58499914;16,78457000
-21,57999914;17,25055000
-21,57499914;18,65004000
-21,56999914;18,65004000
-21,56499914;18,18405000
-21,55999914;19,58200000
-21,55499914;18,65004000
-21,54999914;18,65004000
-21,54499914;17,25055000
-21,53999914;16,31859000
-21,53499914;13,98714000
-21,52999914;12,12168000
-21,52499914;9,79023100
-21,51999914;8,39228500
-21,51499914;6,52682100
-21,50999914;6,06083900
-21,50499914;5,12733700
-21,49999914;3,26341000
-21,49499914;4,66135500
-21,48999914;4,66135500
-21,48499914;5,12733700
-21,47999914;5,59485700
-21,47499914;6,99280200
-21,46999914;7,92630300
-21,46499914;7,45878400
-21,45999914;8,39228500
-21,45499914;8,85826700
-21,44999914;9,32424900
-21,44499914;9,32424900
-21,43999914;8,39228500
-21,43499914;8,39228500
-21,42999914;7,45878400
-21,42499914;6,52682100
-21,41999914;6,52682100
-21,41499914;5,12733700
-21,40999914;5,12733700
-21,40499914;4,66135500
-21,39999914;3,72939200
-21,39499914;3,72939200
-21,38999914;3,72939200
-21,38499914;4,66135500
-21,37999914;3,72939200
-21,37499914;3,72939200
-21,36999914;3,26341000
-21,36499914;1,86392700
-21,35999914;1,86392700
-21,35499914;1,86392700
-21,34999914;0,00000000
-21,34499914;0,00000000
-21,33999914;-1,86392700
-21,33499914;-3,72939200
-21,32999914;-5,59485700
-21,32499914;-5,12733700
-21,31999914;-5,59485700
-21,31499915;-6,06083900
-21,30999915;-7,45878400
-21,30499915;-6,52682100
-21,29999915;-6,99280200
-21,29499915;-6,52682100
-21,28999915;-6,06083900
-21,28499915;-5,59485700
-21,27999915;-3,72939200
-21,27499915;-2,32990900
-21,26999915;-1,86392700
-21,26499915;-1,86392700
-21,25999915;-1,86392700
-21,25499915;-2,32990900
-21,24999915;-3,26341000
-21,24499915;-6,52682100
-21,23999915;-6,99280200
-21,23499915;-9,32424900
-21,22999915;-12,58766000
-21,22499915;-15,85261000
-21,21999915;-16,78457000
-21,21499915;-17,71653000
-21,20999915;-18,65004000
-21,20499915;-20,04798000
-21,19999915;-19,58200000
-21,19499915;-18,18405000
-21,18999915;-17,25055000
-21,18499915;-15,38509000
-21,17999915;-14,45312000
-21,17499915;-11,18971000
-21,16999915;-9,32424900
-21,16499915;-7,45878400
-21,15999915;-6,06083900
-21,15499915;-4,19537400
-21,14999915;-3,26341000
-21,14499915;-2,79742800
-21,13999915;-3,72939200
-21,13499915;-4,19537400
-21,12999915;-5,59485700
-21,12499915;-6,52682100
-21,11999915;-7,45878400
-21,11499915;-8,85826700
-21,10999915;-10,72373000
-21,10499915;-11,65570000
-21,09999915;-13,98714000
-21,09499915;-14,45312000
-21,08999915;-13,98714000
-21,08499915;-14,45312000
-21,07999915;-13,98714000
