Zeit;Kanal A
(ms);(mV)

-6.21549953;3.54330700
-6.21049953;3.54330700
-6.20549953;3.35691400
-6.20049953;3.17052100
-6.19549953;2.79712100
-6.19049953;2.05093500
-6.18549953;3.35691400
-6.18049953;2.98351400
-6.17549953;3.35691400
-6.17049953;3.54330700
-6.16549953;3.91609200
-6.16049953;3.72970000
-6.15549953;5.22207200
-6.15049953;4.28949300
-6.14549953;5.59485700
-6.14049953;6.52743600
-6.13549953;7.08661400
-6.13049953;7.64640700
-6.12549953;9.51156400
-6.12049953;8.57898500
-6.11549953;9.88435100
-6.11049953;8.39259300
-6.10549953;8.95177200
-6.10049953;7.64640700
-6.09549953;8.20558500
-6.09049953;6.15403500
-6.08549953;4.84867100
-6.08049953;2.42433500
-6.07549953;1.67815000
-6.07049953;0.18639270
-6.06549953;-1.67815000
-6.06049953;-1.67815000
-6.05549953;-2.79712100
-6.05049953;-2.98351400
-6.04549953;-2.61072800
-6.04049953;-2.61072800
-6.03549953;-3.17052100
-6.03049953;-2.05093500
-6.02549953;-1.11897100
-6.02049953;-1.11897100
-6.01549953;0.00000000
-6.01049953;1.30536400
-6.00549953;1.86454200
-6.00049953;2.79712100
-5.99549953;2.05093500
-5.99049953;2.23794300
-5.98549953;2.23794300
-5.98049953;2.98351400
-5.97549953;1.86454200
-5.97049953;2.05093500
-5.96549953;0.37278540
-5.96049953;0.00000000
-5.95549953;-0.37278540
-5.95049953;-0.55917820
-5.94549953;0.18639270
-5.94049953;0.37278540
-5.93549953;0.18639270
-5.93049953;1.11897100
-5.92549953;0.55917820
-5.92049953;0.93196360
-5.91549953;1.86454200
-5.91049953;1.30536400
-5.90549953;1.86454200
-5.90049953;0.55917820
-5.89549953;0.55917820
-5.89049953;-0.37278540
-5.88549953;-1.67815000
-5.88049953;-0.93196360
-5.87549953;-1.86454200
-5.87049954;-4.84867100
